a;b;c;d;e;publishdate;title;slug;bangumi;fpost;av;link
特番;2月12日;小沢真珠を土下座させろ;ドランクドラゴン、カンニング竹山、小沢真珠、眞鍋かをり、及川奈央、デヴィ夫人、石田純一、KABA.ちゃん;2005年;2005-02-12;NA;NA;NA;NA;NA;NA
特番;2月12日;眞鍋かをりにキスしてもらえ;ドランクドラゴン、カンニング竹山、小沢真珠、眞鍋かをり、及川奈央、デヴィ夫人、石田純一、KABA.ちゃん;2005年;2005-02-12;NA;NA;NA;NA;NA;NA
特番;2月12日;及川奈央のブラジャーをもらえ;ドランクドラゴン、カンニング竹山、小沢真珠、眞鍋かをり、及川奈央、デヴィ夫人、石田純一、KABA.ちゃん;2005年;2005-02-12;NA;NA;NA;NA;NA;NA
特番;2月12日;デヴィ夫人に10万円借りろ;ドランクドラゴン、カンニング竹山、小沢真珠、眞鍋かをり、及川奈央、デヴィ夫人、石田純一、KABA.ちゃん;2005年;2005-02-12;NA;NA;NA;NA;NA;NA
特番;2月12日;石田純一を泣かせろ;ドランクドラゴン、カンニング竹山、小沢真珠、眞鍋かをり、及川奈央、デヴィ夫人、石田純一、KABA.ちゃん;2005年;2005-02-12;NA;NA;NA;NA;NA;NA
特番;2月12日;KABA.ちゃんに水1.5Lを飲ませろ;ドランクドラゴン、カンニング竹山、小沢真珠、眞鍋かをり、及川奈央、デヴィ夫人、石田純一、KABA.ちゃん;2005年;2005-02-12;NA;NA;NA;NA;NA;NA
1;10月8日;小林恵美にキスしてもらえ;岡田圭右、小林恵美、レイザーラモンHG;2005年;2005-10-08;NA;NA;NA;NA;NA;NA
1;10月8日;レイザーラモンHGを惚れさせろ（前編）;岡田圭右、小林恵美、レイザーラモンHG;2005年;2005-10-08;NA;NA;NA;NA;NA;NA
2;10月15日;レイザーラモンHGを惚れさせろ（後編）;岡田圭右、今田耕司、レイザーラモンHG、大橋未歩;2005年;2005-10-15;NA;NA;NA;NA;NA;NA
2;10月15日;大橋アナにキスしてもらえ;岡田圭右、今田耕司、レイザーラモンHG、大橋未歩;2005年;2005-10-15;NA;NA;NA;NA;NA;NA
3;10月22日;みさきゆうの体を3ヶ所なめろ;出川哲朗、みさきゆう、ボビー・オロゴン;2005年;2005-10-22;NA;NA;NA;NA;NA;NA
3;10月22日;ボビー・オロゴンを泣かせろ（前編）;出川哲朗、みさきゆう、ボビー・オロゴン;2005年;2005-10-22;NA;NA;NA;NA;NA;NA
4;10月29日;ボビー・オロゴンを泣かせろ（後編）;出川哲朗、ボビー・オロゴン、蒼井そら;2005年;2005-10-29;NA;NA;NA;NA;NA;NA
4;10月29日;蒼井そらに愛のあるキスをしてもらえ;出川哲朗、ボビー・オロゴン、蒼井そら;2005年;2005-10-29;NA;NA;NA;NA;NA;NA
5;11月5日;ほしのあきの胸に顔を埋めろ;山崎邦正、出川哲朗、ほしのあき、徳光和夫;2005年;2005-11-05;NA;NA;NA;NA;NA;NA
5;11月5日;徳光和夫に阪神のハッピを着させろ（前編）;山崎邦正、出川哲朗、ほしのあき、徳光和夫;2005年;2005-11-05;NA;NA;NA;NA;NA;NA
6;11月12日;及川奈央のパンティーをもらえ;岡田圭右、出川哲朗、及川奈央、徳光和夫;2005年;2005-11-12;NA;NA;NA;NA;NA;NA
6;11月12日;徳光和夫に阪神のハッピを着させろ（後編）;岡田圭右、出川哲朗、及川奈央、徳光和夫;2005年;2005-11-12;NA;NA;NA;NA;NA;NA
7;11月19日;山上兄弟を寝かしつけろ;スピードワゴン、山崎邦正、山上兄弟、坂下千里子;2005年;2005-11-19;NA;NA;NA;NA;NA;NA
7;11月19日;坂下千里子を泣かせろ;スピードワゴン、山崎邦正、山上兄弟、坂下千里子;2005年;2005-11-19;NA;NA;NA;NA;NA;NA
8;11月25日;煩悩ガールズを3人辞めさせろ;スピードワゴン、煩悩ガールズ;2005年;2005-11-25;NA;NA;NA;NA;NA;NA
9;12月3日;西川史子にキスしてもらえ;アンジャッシュ、スピードワゴン、西川史子、角田信朗;2005年;2005-12-03;NA;NA;NA;NA;NA;NA
9;12月3日;角田信朗に3ヶ所ケリを入れろ（前編）;アンジャッシュ、スピードワゴン、西川史子、角田信朗;2005年;2005-12-03;NA;NA;NA;NA;NA;NA
10;12月10日;くまきりあさ美にキスしてもらえ;アンジャッシュ、スピードワゴン、くまきりあさ美、角田信朗;2005年;2005-12-10;NA;NA;NA;NA;NA;NA
10;12月10日;角田信朗に3ヶ所ケリを入れろ（後編）;アンジャッシュ、スピードワゴン、くまきりあさ美、角田信朗;2005年;2005-12-10;NA;NA;NA;NA;NA;NA
11;12月16日;第1回神様対抗キス我慢選手権（前編）;バナナマン、みひろ;2005年;2005-12-16;NA;NA;NA;NA;NA;NA
12;12月24日;第1回神様対抗キス我慢選手権（後編）;バナナマン、みひろ、かすみ果穂、東京03;2005年;2005-12-24;NA;NA;NA;NA;NA;NA
12;12月24日;前代未聞の大トラブル 撮ったロケが流れない;バナナマン、みひろ、かすみ果穂、東京03;2005年;2005-12-24;NA;NA;NA;NA;NA;NA
SP;1月5日;THE GODTONGUE カッコイイ列伝;遠藤憲一、半田健人、ハチミツ二郎（東京ダイナマイト）、小沢一敬（スピードワゴン）、バナナマン;2007年;2007-01-05;NA;NA;NA;NA;NA;NA
SP;1月5日;小木博明の口喧嘩ドライブ;相澤仁美、岩佐真悠子;2007年;2007-01-05;NA;NA;NA;NA;NA;NA
SP;1月5日;第2回キス我慢選手権リターンズ;バナナマン、みひろ、穂花、成松慶彦;2007年;2007-01-05;NA;NA;NA;NA;NA;NA
1;4月12日;番組スタート祝いのキスを奪えるか!?;眞鍋かをり、蒼井そら、くまきりあさ美;2007年;2007-04-12;NA;NA;NA;NA;NA;NA
2;4月19日;妹分オーディション 小木に服を売りつけろ!;柳原可奈子;2007年;2007-04-19;NA;NA;NA;NA;NA;NA
3;4月26日;劇団ひとりvs品川祐 芸人小説家ナンバーワンはオレだ!;品川庄司;2007年;2007-04-26;NA;NA;NA;NA;NA;NA
4;5月3日;第1回芸人マジ歌選手権;バナナマン、東京03、山田五郎、真矢、奈津子、亜希子、滝井礼乃;2007年;2007-05-03;NA;NA;NA;NA;NA;NA
5;5月10日;第1回アイドルの恩返し;佐藤寛子、相澤仁美;2007年;2007-05-10;NA;NA;NA;NA;NA;NA
6;5月17日;石原真理子と武勇伝を作れ!;石原真理子;2007年;2007-05-17;NA;NA;NA;NA;NA;NA
7;5月31日;くまきりあさ美、矢作兼と最後のキス;くまきりあさ美;2007年;2007-05-31;NA;NA;NA;NA;NA;NA
8;6月7日;エンジェルミッションのコーナー;柳原可奈子、バナナマン;2007年;2007-06-07;NA;NA;NA;NA;NA;NA
8;6月7日;第2回アイドルの恩返し;相澤仁美;2007年;2007-06-07;NA;NA;NA;NA;NA;NA
9;6月14日;ストレス発散させまSHOW;日村勇紀（バナナマン）、山本モナ;2007年;2007-06-14;NA;NA;NA;NA;NA;NA
9;6月14日;小木博明の口喧嘩ドライブ;星野真里;2007年;2007-06-14;NA;NA;NA;NA;NA;NA
10;6月21日;仲直りフレンドパーク;岩佐真悠子;2007年;2007-06-21;NA;NA;NA;NA;NA;NA
11;6月28日;第2回芸人マジ歌選手権;バナナマン、東京03、ケンドーコバヤシ、松崎しげる、スザンヌ;2007年;2007-06-28;NA;NA;NA;NA;NA;NA
12;7月5日;小木博明の口喧嘩ドライブ;スザンヌ;2007年;2007-07-05;NA;NA;NA;NA;NA;NA
13;7月12日;ゲストに大きな声を出させよう;インパルス、小杉竜一（ブラックマヨネーズ）、磯山さやか;2007年;2007-07-12;NA;NA;NA;NA;NA;NA
14;7月19日;DVD発売記念!アイドルのおっぱいを見せてもらおう;小林恵美、大沢あかね、相澤仁美;2007年;2007-07-19;NA;NA;NA;NA;NA;NA
15;7月26日;カリスマリサイクルショップ可奈子;柳原可奈子、夏帆;2007年;2007-07-26;NA;NA;NA;NA;NA;NA
16;8月2日;カリスマリサイクルショップ可奈子;柳原可奈子、夏帆、杉浦太陽、カンニング竹山;2007年;2007-08-02;NA;NA;NA;NA;NA;NA
17;8月9日;第1回ラブストーリー王決定戦;カンニング竹山、ケンドーコバヤシ、三津谷葉子;2007年;2007-08-09;NA;NA;NA;NA;NA;NA
18;8月16日;私と紅茶とゴッドタン;-;2007年;2007-08-16;NA;NA;NA;NA;NA;NA
19;8月23日;第3回キス我慢選手権;バナナマン、山里亮太（南海キャンディーズ）、春咲あずみ、西野翔、かすみ果穂、みひろ、成松慶彦;2007年;2007-08-23;NA;NA;NA;NA;NA;NA
20;8月30日;第3回キス我慢選手権;バナナマン、山里亮太（南海キャンディーズ）、春咲あずみ、西野翔、かすみ果穂、みひろ、成松慶彦;2007年;2007-08-30;NA;NA;NA;NA;NA;NA
21;9月6日;第3回キス我慢選手権;バナナマン、山里亮太（南海キャンディーズ）、春咲あずみ、西野翔、かすみ果穂、みひろ、成松慶彦;2007年;2007-09-06;NA;NA;NA;NA;NA;NA
22;9月13日;第3回芸人マジ歌選手権;バナナマン、東京03、ケンドーコバヤシ、香田晋、堀田ゆい夏;2007年;2007-09-13;NA;NA;NA;NA;NA;NA
23;9月20日;第3回芸人マジ歌選手権;バナナマン、東京03、ケンドーコバヤシ、香田晋、堀田ゆい夏;2007年;2007-09-20;NA;NA;NA;NA;NA;NA
24;9月27日;合いの手オーディション;堀田ゆい夏、スザンヌ、前田海嘉、相澤仁美;2007年;2007-09-27;NA;NA;NA;NA;NA;NA
25;10月4日;小木博明の口喧嘩ドライブ;美保純;2007年;2007-10-04;NA;NA;NA;NA;NA;NA
26;10月11日;第1回ヒドイ女サミット;小沢一敬（スピードワゴン）、堤下敦（インパルス）、相澤仁美、前田海嘉;2007年;2007-10-11;NA;NA;NA;NA;NA;NA
27;10月18日;第2回ヒドイ女サミット;設楽統（バナナマン）、ケンドーコバヤシ、森下千里;2007年;2007-10-18;NA;NA;NA;NA;NA;NA
28;11月1日;第2回ラブストーリー王決定戦;小沢一敬（スピードワゴン）、ケンドーコバヤシ、鮎河ナオミ、前田海嘉;2007年;2007-11-01;NA;NA;NA;NA;NA;NA
29;11月8日;第2回ラブストーリー王決定戦;小沢一敬（スピードワゴン）、ケンドーコバヤシ、鮎河ナオミ、前田海嘉;2007年;2007-11-08;NA;NA;NA;NA;NA;NA
30;11月15日;マジ歌リクエスト大会（前編）;バナナマン、東京03、ケンドーコバヤシ、倉科カナ;2007年;2007-11-15;NA;NA;NA;NA;NA;NA
30;11月15日;松丸友紀26歳 はじめてのドッキリ;-;2007年;2007-11-15;NA;NA;NA;NA;NA;NA
31;11月22日;マジ歌リクエスト大会（後編）;バナナマン、東京03、ケンドーコバヤシ、倉科カナ;2007年;2007-11-22;NA;NA;NA;NA;NA;NA
32;11月29日;アイドルは愛嬌選手権;バナナマン、高部あい、鹿谷弥生、優木まおみ、AKB48;2007年;2007-11-29;NA;NA;NA;NA;NA;NA
33;12月6日;アイドルは愛嬌選手権;バナナマン、高部あい、鹿谷弥生、優木まおみ、AKB48;2007年;2007-12-06;NA;NA;NA;NA;NA;NA
34;12月13日;DVD発売記念!アイドルのおっぱいを見せてもらおう;森下悠里、小林恵美、相澤仁美;2007年;2007-12-13;NA;NA;NA;NA;NA;NA
35;12月20日;第3回ヒドイ女サミット 〜ドイヒー・オブ・ザ・イヤー2007〜;小沢一敬（スピードワゴン）、山里亮太（南海キャンディーズ）、原幹恵;2007年;2007-12-20;NA;NA;NA;NA;NA;NA
36;1月17日;私とパジャマとゴッドタン;-;2008年;2008-01-17;NA;NA;NA;NA;NA;NA
37;1月24日;第4回芸人マジ歌選手権;バナナマン、東京03、ケンドーコバヤシ、友近、半田健人、小阪由佳;2008年;2008-01-24;NA;NA;NA;NA;NA;NA
38;1月31日;第4回芸人マジ歌選手権;バナナマン、東京03、ケンドーコバヤシ、友近、半田健人、小阪由佳;2008年;2008-01-31;NA;NA;NA;NA;NA;NA
39;2月7日;日村理解王選手権;バナナマン、松嶋初音;2008年;2008-02-07;NA;NA;NA;NA;NA;NA
40;2月14日;キモンスターズ・チャンプ;バナナマン、ハイキングウォーキング;2008年;2008-02-14;NA;NA;NA;NA;NA;NA
41;2月21日;キモンスターズ・チャンプ ファイナルラウンド;バナナマン、ハイキングウォーキング;2008年;2008-02-21;NA;NA;NA;NA;NA;NA
41;2月21日;小木博明のテンション下げたら罰金ドライブ;-;2008年;2008-02-21;NA;NA;NA;NA;NA;NA
42;3月6日;第1回矢作の相方オーディション;小阪由佳、愛川ゆず季、風子、辰巳奈都子;2008年;2008-03-06;NA;NA;NA;NA;NA;NA
43;3月13日;第1回矢作の相方オーディション;小阪由佳、愛川ゆず季、風子、辰巳奈都子;2008年;2008-03-13;NA;NA;NA;NA;NA;NA
44;3月20日;第4回ヒドイ女サミット;ブラックマヨネーズ、優木まおみ;2008年;2008-03-20;NA;NA;NA;NA;NA;NA
45;3月27日;恋する放課後〜アイツ、私のこと好きかも;森三中、相澤仁美;2008年;2008-03-27;NA;NA;NA;NA;NA;NA
46;4月3日;恋する放課後〜アイツ、私のこと好きかも;森三中、相澤仁美、東京03、みひろ;2008年;2008-04-03;NA;NA;NA;NA;NA;NA
46;4月3日;過激すぎてお蔵入り!未公開映像大放出スペシャル;バナナマン、相澤仁美;2008年;2008-04-03;NA;NA;NA;NA;NA;NA
47;4月10日;山里理解王選手権;バナナマン、山里亮太（南海キャンディーズ）、小阪由佳、西野翔;2008年;2008-04-10;NA;NA;NA;NA;NA;NA
48;4月17日;第1回カエオケフレーズクイズ;バナナマン、小倉優子、角田晃広（東京03）;2008年;2008-04-17;NA;NA;NA;NA;NA;NA
49;4月24日;あるあるネタ301検証;360°モンキーズ、麦芽、ピーナッツパン、とーどーゆーた、ニッケルバック;2008年;2008-04-24;NA;NA;NA;NA;NA;NA
50;5月1日;第2回カエオケフレーズクイズ;バナナマン、磯山さやか、角田晃広（東京03）;2008年;2008-05-01;NA;NA;NA;NA;NA;NA
51;5月8日;IP抗争（相澤vs風子）;バナナマン、相澤仁美、風子;2008年;2008-05-08;NA;NA;NA;NA;NA;NA
52;5月15日;第1回ドジ芝居でアピール合戦;バナナマン、品川庄司、亜希子;2008年;2008-05-15;NA;NA;NA;NA;NA;NA
53;5月22日;第3回カエオケフレーズクイズ;バナナマン、優木まおみ、角田晃広（東京03）;2008年;2008-05-22;NA;NA;NA;NA;NA;NA
54;5月29日;第5回ヒドイ女サミット;渡部建（アンジャッシュ）、有吉弘行、辰巳奈都子;2008年;2008-05-29;NA;NA;NA;NA;NA;NA
55;6月5日;女に言ってほしいセリフ会議;インパルス、優木まおみ;2008年;2008-06-05;NA;NA;NA;NA;NA;NA
56;6月12日;芸能界ストイック暗記王;バナナマン、堤下敦（インパルス）、田中涼子、村岡沙耶香、深澤ゆうき、浅田ほのか、未来、石井かおり、ゆずき、深水あかね;2008年;2008-06-12;NA;NA;NA;NA;NA;NA
57;6月19日;第2回ドジ芝居でアピール合戦;バナナマン、山里亮太（南海キャンディーズ）、カンニング竹山、あびる優、庄司智春（品川庄司）;2008年;2008-06-19;NA;NA;NA;NA;NA;NA
58;6月26日;第2回ドジ芝居でアピール合戦;バナナマン、山里亮太（南海キャンディーズ）、カンニング竹山、あびる優、庄司智春（品川庄司）;2008年;2008-06-26;NA;NA;NA;NA;NA;NA
59;7月3日;芸能界ストイック暗記王2;黄川田将也、井戸田潤（スピードワゴン）、有吉弘行、田中涼子、村岡沙耶香、深澤ゆうき、未来、浅田ほのか、石井かおり、ゆずき、深水あかね;2008年;2008-07-03;NA;NA;NA;NA;NA;NA
60;7月10日;第6回ヒドイ女サミット;板倉俊之（インパルス）、山里亮太（南海キャンディーズ）、佐野夏芽;2008年;2008-07-10;NA;NA;NA;NA;NA;NA
61;7月17日;第4回キス我慢選手権前夜祭 キス我慢ゼミナール;設楽統（バナナマン）;2008年;2008-07-17;NA;NA;NA;NA;NA;NA
62;7月31日;第4回キス我慢選手権;バナナマン、小杉竜一（ブラックマヨネーズ）、山里亮太（南海キャンディーズ）、イジリー岡田、大沢佑香（晶エリー、新井エリー）、希志あいの、Ami、みづなれい、長澤つぐみ、みひろ、成松慶彦;2008年;2008-07-31;NA;NA;NA;NA;NA;NA
63;8月7日;第4回キス我慢選手権;バナナマン、小杉竜一（ブラックマヨネーズ）、山里亮太（南海キャンディーズ）、イジリー岡田、大沢佑香（晶エリー、新井エリー）、希志あいの、Ami、みづなれい、長澤つぐみ、みひろ、成松慶彦;2008年;2008-08-07;NA;NA;NA;NA;NA;NA
64;8月14日;第4回キス我慢選手権;バナナマン、小杉竜一（ブラックマヨネーズ）、山里亮太（南海キャンディーズ）、イジリー岡田、大沢佑香（晶エリー、新井エリー）、希志あいの、Ami、みづなれい、長澤つぐみ、みひろ、成松慶彦;2008年;2008-08-14;NA;NA;NA;NA;NA;NA
65;8月21日;第4回キス我慢選手権;バナナマン、小杉竜一（ブラックマヨネーズ）、山里亮太（南海キャンディーズ）、イジリー岡田、大沢佑香（晶エリー、新井エリー）、希志あいの、Ami、みづなれい、長澤つぐみ、みひろ、成松慶彦;2008年;2008-08-21;NA;NA;NA;NA;NA;NA
66;8月28日;キモンスターズ・チャンプ2;バナナマン、オードリー;2008年;2008-08-28;NA;NA;NA;NA;NA;NA
67;9月4日;第4回カエオケフレーズクイズ;バナナマン、小阪由佳、角田晃広（東京03）;2008年;2008-09-04;NA;NA;NA;NA;NA;NA
68;9月11日;第1回M女オーディション;有吉弘行、佐野夏芽、華彩なな、アヤカ・ウィルソン;2008年;2008-09-11;NA;NA;NA;NA;NA;NA
69;9月18日;第2回M女オーディション;有吉弘行、原幹恵、佐藤唯、アヤカ・ウィルソン;2008年;2008-09-18;NA;NA;NA;NA;NA;NA
70;9月25日;ヒドイ女サミット 禁断の未公開SP;-;2008年;2008-09-25;NA;NA;NA;NA;NA;NA
71;10月2日;タイトルロゴリニューアル!緊急オープニングトーク;-;2008年;2008-10-02;NA;NA;NA;NA;NA;NA
72;10月9日;地元エピソードキング;品川庄司、TKO;2008年;2008-10-09;NA;NA;NA;NA;NA;NA
73;10月16日;DVD発売記念!アイドルのおっぱいを見せてもらおう;バナナマン、優木まおみ、手島優、相澤仁美;2008年;2008-10-16;NA;NA;NA;NA;NA;NA
74;10月23日;DVD発売記念!アイドルのおっぱいを見せてもらおう;バナナマン、優木まおみ、手島優、相澤仁美;2008年;2008-10-23;NA;NA;NA;NA;NA;NA
75;10月30日;話し合えば何でも出来る!机上の空論;バナナマン、ジョイマン;2008年;2008-10-30;NA;NA;NA;NA;NA;NA
75;10月30日;ゴッドタングッズ発売記念情報;バナナマン;2008年;2008-10-30;NA;NA;NA;NA;NA;NA
76;11月6日;芸能界ストイック暗記王3;バナナマン、有吉弘行、田中涼子、深澤ゆうき、黒澤佐知子;2008年;2008-11-06;NA;NA;NA;NA;NA;NA
77;11月13日;第3回M女オーディション;有吉弘行、次原かな、辰巳奈都子;2008年;2008-11-13;NA;NA;NA;NA;NA;NA
78;11月20日;芸能界ストイック暗記王4;バナナマン、小島よしお、田中涼子、深澤ゆうき、黒澤佐知子、桜木凛;2008年;2008-11-20;NA;NA;NA;NA;NA;NA
79;11月27日;飲み会のノリと勢いだけで番組を成立させよう!;黒沢かずこ（森三中）、キングオブコメディ、青島あきな;2008年;2008-11-27;NA;NA;NA;NA;NA;NA
80;12月4日;ケンコバ&日村の女友達になりたい人いらっしゃ〜い;バナナマン、ケンドーコバヤシ、秋元玲奈、美月あかり、高瀬みさき;2008年;2008-12-04;NA;NA;NA;NA;NA;NA
81;12月11日;芸能界ストイック暗記王5;はんにゃ、田中卓志（アンガールズ）、深澤ゆうき、藤井梨花、村岡沙耶香、初音みのり;2008年;2008-12-11;NA;NA;NA;NA;NA;NA
82;12月18日;地元エピソードキング2;スピードワゴン、サバンナ;2008年;2008-12-18;NA;NA;NA;NA;NA;NA
83;12月25日;クリスマス・イブ特別企画 クリスマスソングを作ろう;日村勇紀（バナナマン）、角田晃広（東京03）、原幹恵;2008年;2008-12-25;NA;NA;NA;NA;NA;NA
84;1月3日;新春キス我慢特別編 雑ガマン選手権;日村勇紀（バナナマン）、はんにゃ、狩野英孝、サンドウィッチマン、春咲あずみ、麻美ゆま、明日花キララ;2009年;2009-01-03;NA;NA;NA;NA;NA;NA
84;1月3日;第5回芸人マジ歌選手権 新春スペシャル;バナナマン、東京03、秋山竜次（ロバート）、ケンドーコバヤシ、香田晋、上原美優、有吉弘行;2009年;2009-01-03;NA;NA;NA;NA;NA;NA
85;1月8日;放送コードギリギリ解禁未公開SP;-;2009年;2009-01-08;NA;NA;NA;NA;NA;NA
86;1月15日;第2回飲み会のノリと勢いだけで番組を成立させよう!;日村勇紀（バナナマン）、角田晃広（東京03）、松本亜希、秋山竜次（ロバート）;2009年;2009-01-15;NA;NA;NA;NA;NA;NA
87;1月22日;第4回M女オーディション;有吉弘行、大友さゆり、谷桃子;2009年;2009-01-22;NA;NA;NA;NA;NA;NA
88;1月29日;地元エピソードキング3;スピードワゴン、サバンナ;2009年;2009-01-29;NA;NA;NA;NA;NA;NA
89;2月5日;旬芸人キス我慢 未公開スペシャル;日村勇紀（バナナマン）、はんにゃ、狩野英孝、サンドウィッチマン、春咲あずみ、麻美ゆま、明日花キララ;2009年;2009-02-05;NA;NA;NA;NA;NA;NA
90;2月12日;芸能界ストイック暗記王6;TKO、ナイツ、深澤ゆうき、田中涼子、藤井梨花、原紗央莉、はなわ;2009年;2009-02-12;NA;NA;NA;NA;NA;NA
91;2月19日;第5回M女オーディション;有吉弘行、児玉菜々子、松本さゆき;2009年;2009-02-19;NA;NA;NA;NA;NA;NA
92;3月5日;準レギュラー争奪 サバイバルオーディション;相澤仁美、青島あきな、大友さゆり;2009年;2009-03-05;NA;NA;NA;NA;NA;NA
93;3月12日;第7回ヒドイ女サミット;井戸田潤（スピードワゴン）、狩野英孝、杉本有美;2009年;2009-03-12;NA;NA;NA;NA;NA;NA
94;3月19日;第1回非・吉本芸人 団体芸サミット;バナナマン、オードリー、キングオブコメディ、小島よしお;2009年;2009-03-19;NA;NA;NA;NA;NA;NA
95;3月26日;第1回非・吉本芸人 団体芸サミット;バナナマン、オードリー、キングオブコメディ、小島よしお;2009年;2009-03-26;NA;NA;NA;NA;NA;NA
96;4月2日;劇団ひとり ひどいじゃない裁判;バナナマン、大沢あかね、みひろ;2009年;2009-04-02;NA;NA;NA;NA;NA;NA
97;4月9日;DVD2巻同時発売記念!アイドルのおっぱいを見せてもらおう!!;バナナマン、手島優、次原かな、大竹一樹（さまぁ〜ず）;2009年;2009-04-09;NA;NA;NA;NA;NA;NA
98;4月16日;第2回非・吉本芸人 団体芸サミット（前編）;バナナマン、オードリー、キングオブコメディ、小島よしお;2009年;2009-04-16;NA;NA;NA;NA;NA;NA
99;4月23日;マジ歌シンガー CDデビューへの道;バナナマン、東京03;2009年;2009-04-23;NA;NA;NA;NA;NA;NA
99;4月23日;第2回非・吉本芸人 団体芸サミット（後編）;バナナマン、オードリー、キングオブコメディ、小島よしお;2009年;2009-04-23;NA;NA;NA;NA;NA;NA
100;5月7日;第6回M女オーディション;有吉弘行、田代さやか;2009年;2009-05-07;NA;NA;NA;NA;NA;NA
100;5月7日;東京03角田晃広 マジ歌CDデビューへの道;バナナマン、東京03;2009年;2009-05-07;NA;NA;NA;NA;NA;NA
101;5月14日;仲直りフレンドパーク2;有吉弘行、谷桃子;2009年;2009-05-14;NA;NA;NA;NA;NA;NA
102;5月21日;祝!ゴッドタン100回記念パーティー;相澤仁美、橘麗美;2009年;2009-05-21;NA;NA;NA;NA;NA;NA
102;5月21日;DVD2枚同時発売記念 ローソンでDVDをPRしよう!;角田晃広（東京03）;2009年;2009-05-21;NA;NA;NA;NA;NA;NA
103;5月28日;第3回非・吉本芸人 団体芸サミット;バナナマン、オードリー、キングオブコメディ、アンガールズ;2009年;2009-05-28;NA;NA;NA;NA;NA;NA
104;6月4日;芸能界ストイック暗記王7;庄司智春（品川庄司）、スピードワゴン、秋山竜次（ロバート）、深澤ゆうき、田中涼子、藤井梨花、藤井シェリー;2009年;2009-06-04;NA;NA;NA;NA;NA;NA
105;6月11日;芸能界ストイック暗記王7;庄司智春（品川庄司）、スピードワゴン、秋山竜次（ロバート）、深澤ゆうき、田中涼子、藤井梨花、藤井シェリー;2009年;2009-06-11;NA;NA;NA;NA;NA;NA
106;6月18日;マジ歌DVD発売記念 角ちゃんモテモテ大作戦;角田晃広（東京03）、鎌田奈津美、西内裕美;2009年;2009-06-18;NA;NA;NA;NA;NA;NA
107;6月22日;第6回芸人マジ歌選手権;バナナマン、東京03、秋山竜次（ロバート）、大島美幸・黒沢かずこ（森三中）、香田晋、上原美優、有吉弘行;2009年;2009-06-22;090621 神舌 第六届严肃歌曲大赛;2017-10-16-090621-2610465;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-090621-2610465.md;2610465;<a href='/post/2017-10-16-090621-2610465'>LINK</a>
108;6月25日;アメトーーク出演 緊急反省会!!;-;2009年;2009-06-25;NA;NA;NA;NA;NA;NA
108;6月25日;第4回非・吉本芸人 団体芸サミット;バナナマン、オードリー、アンガールズ、キングオブコメディ;2009年;2009-06-25;NA;NA;NA;NA;NA;NA
109;7月9日;調子が良い時こそ気を引き締めよう!ゴッドタン緊急反省会;折原みか;2009年;2009-07-09;NA;NA;NA;NA;NA;NA
109;7月9日;完全未公開!マジ歌シンガーの舞台裏;-;2009年;2009-07-09;NA;NA;NA;NA;NA;NA
110;7月16日;第1回ドスベリサミット;サバンナ、辰巳奈都子;2009年;2009-07-16;NA;NA;NA;NA;NA;NA
111;7月23日;今後使いたいのは誰だ!?ヒム子のアイドル性格チェック;バナナマン、木口亜矢、さとう里香;2009年;2009-07-23;NA;NA;NA;NA;NA;NA
112;7月30日;2週ぶちぬき!まさかのマジ歌ライブ;NA;2009年;2009-07-30;NA;NA;NA;NA;NA;NA
