a;b;c;d;e;publishdate;title;slug;bangumi;fpost;av;link
113;8月6日;2週ぶちぬき!まさかのマジ歌ライブ;NA;2009年;2009-08-06;NA;NA;NA;NA;NA;NA
114;8月13日;キモンスターズ・チャンプ3;バナナマン、オードリー;2009年;2009-08-13;NA;NA;NA;NA;NA;NA
115;8月20日;ザ・大声クイズ;インパルス、佐野夏芽;2009年;2009-08-20;NA;NA;NA;NA;NA;NA
116;8月27日;第2回ドスベリサミット;有吉弘行、後藤輝基（フットボールアワー）、次原かな;2009年;2009-08-27;NA;NA;NA;NA;NA;NA
117;9月3日;芸能界ストイック暗記王8;響、ハリセンボン、キングオブコメディ、深澤ゆうき、田中涼子、藤井梨花、原紗央莉;2009年;2009-09-03;NA;NA;NA;NA;NA;NA
118;9月10日;芸能界ストイック暗記王8;響、ハリセンボン、キングオブコメディ、深澤ゆうき、田中涼子、藤井梨花、原紗央莉;2009年;2009-09-10;NA;NA;NA;NA;NA;NA
119;9月24日;今後使いたいのは誰だ!?ヒム子のアイドル性格チェック;バナナマン、加藤沙耶香;2009年;2009-09-24;NA;NA;NA;NA;NA;NA
120;10月1日;角ちゃんCDデビュー&東京03コント日本一おめでとう記念!アイドルにおっぱいを見せてもらおう!;バナナマン、東京03、杉麻李沙、手島優、辰巳奈都子;2009年;2009-10-01;NA;NA;NA;NA;NA;NA
121;10月8日;角ちゃんCDデビュー&東京03コント日本一おめでとう記念!アイドルにおっぱいを見せてもらおう!;バナナマン、東京03、杉麻李沙、手島優、辰巳奈都子;2009年;2009-10-08;NA;NA;NA;NA;NA;NA
122;10月15日;ザ・大声クイズ2;オードリー、浜田ブリトニー;2009年;2009-10-15;NA;NA;NA;NA;NA;NA
123;10月22日;第1回谷桃子王決定戦;有吉弘行、後藤輝基（フットボールアワー）、谷桃子;2009年;2009-10-22;NA;NA;NA;NA;NA;NA
124;10月29日;東京03の使い方発表会;バナナマン、東京03;2009年;2009-10-29;NA;NA;NA;NA;NA;NA
125;11月5日;今後使いたいのは誰だ!?ヒム子のアイドル性格チェック;バナナマン、西舘さをり;2009年;2009-11-05;NA;NA;NA;NA;NA;NA
126;11月12日;第3回ドスベリサミット;U字工事、大島美幸（森三中）、折山みゆ;2009年;2009-11-12;NA;NA;NA;NA;NA;NA
127;11月19日;ザ・大声クイズ3;ブラックマヨネーズ、愛川ゆず季;2009年;2009-11-19;NA;NA;NA;NA;NA;NA
128;11月26日;ゴッドタン アイドルお宝映像GP;-;2009年;2009-11-26;NA;NA;NA;NA;NA;NA
129;12月3日;第2回谷桃子王決定戦;有吉弘行、伊達みきお（サンドウィッチマン）、谷桃子;2009年;2009-12-03;NA;NA;NA;NA;NA;NA
130;12月10日;第8回ヒドイ女サミット;島田秀平、山里亮太（南海キャンディーズ）、さとう里香;2009年;2009-12-10;NA;NA;NA;NA;NA;NA
131;12月17日;大告白忘年会;バナナマン;2009年;2009-12-17;NA;NA;NA;NA;NA;NA
132;12月24日;第5回キス我慢選手権ファイナル（前編）;バナナマン、東京03、濱口優（よゐこ）、瑠川リナ、天海つばさ;2009年;2009-12-24;NA;NA;NA;NA;NA;NA
133;1月4日;第5回キス我慢選手権ファイナル（後編）;バナナマン、東京03、後藤輝基（フットボールアワー）、横山美雪、藤浦めぐ、並木優、みひろ、成松慶彦、入江雅人、みのすけ;2010年;2010-01-04;NA;NA;NA;NA;NA;NA
134;1月7日;第1回松丸プロデュース王決定戦;バナナマン;2010年;2010-01-07;NA;NA;NA;NA;NA;NA
135;1月14日;第1回エロ哀しい話座談会;小沢一敬（スピードワゴン）;2010年;2010-01-14;NA;NA;NA;NA;NA;NA
136;1月21日;今後使いたいのは誰だ!?ヒム子のアイドル性格チェック;バナナマン、一戸愛子;2010年;2010-01-21;NA;NA;NA;NA;NA;NA
137;1月28日;DVD発売&SP大成功記念緊急企画 雑ガマン選手権;バナナマン、東京03、栗林里莉、石橋ゆう子;2010年;2010-01-28;NA;NA;NA;NA;NA;NA
138;2月4日;チャーハン具材ドラフト会議;バナナマン;2010年;2010-02-04;NA;NA;NA;NA;NA;NA
139;2月11日;芸能界ストイック暗記王9;オードリー、ロザン、大島美幸（森三中）、深澤ゆうき、田中涼子、藤井梨花、折山みゆ、米田弥央;2010年;2010-02-11;NA;NA;NA;NA;NA;NA
140;2月18日;芸能界ストイック暗記王9;オードリー、ロザン、大島美幸（森三中）、深澤ゆうき、田中涼子、藤井梨花、折山みゆ、米田弥央;2010年;2010-02-18;NA;NA;NA;NA;NA;NA
141;2月25日;今後使いたいのは誰だ!?ヒム子のアイドル性格チェック;バナナマン、ローラ;2010年;2010-02-25;NA;NA;NA;NA;NA;NA
142;3月4日;第4回ドスベリサミット;島田秀平、渡部建（アンジャッシュ）、西舘さをり;2010年;2010-03-04;NA;NA;NA;NA;NA;NA
143;3月11日;DVD発売記念シークレットライブ;-;2010年;2010-03-11;NA;NA;NA;NA;NA;NA
144;3月18日;第1回タニームマッチ2010;オリエンタルラジオ、谷桃子;2010年;2010-03-18;NA;NA;NA;NA;NA;NA
145;3月25日;超危険VTRスペシャル;-;2010年;2010-03-25;NA;NA;NA;NA;NA;NA
145;3月25日;芸能界視聴率キング;蛭子能収、八田亜矢子;2010年;2010-03-25;NA;NA;NA;NA;NA;NA
146;4月1日;もう一度みたい!キャラクターランキング;-;2010年;2010-04-01;NA;NA;NA;NA;NA;NA
147;4月8日;第9回ヒドイ女サミット;カンニング竹山、ロザン、西田麻衣;2010年;2010-04-08;NA;NA;NA;NA;NA;NA
148;4月15日;東京ドスベリサミット;バナナマン、バカリズム、オードリー、東京03;2010年;2010-04-15;东京冷场会谈（前篇）20100414;2019-03-21-100414-46907696;神舌;/home/tc/GIT/owaraisite/content/post//2019-03-21-100414-46907696.md;46907696;<a href='/post/2019-03-21-100414-46907696'>LINK</a>
149;4月22日;東京ドスベリサミット;バナナマン、バカリズム、オードリー、東京03;2010年;2010-04-22;NA;NA;NA;NA;NA;NA
150;4月29日;ザ・大声クイズ4;山里亮太（南海キャンディーズ）、鈴木拓（ドランクドラゴン）、西舘さをり;2010年;2010-04-29;NA;NA;NA;NA;NA;NA
151;5月6日;松丸たるんでんじゃないの裁判;ハリセンボン;2010年;2010-05-06;NA;NA;NA;NA;NA;NA
152;5月13日;第2回エロ哀しい話座談会;小沢一敬（スピードワゴン）、山里亮太（南海キャンディーズ）;2010年;2010-05-13;NA;NA;NA;NA;NA;NA
153;5月20日;パスタの具材ドラフト会議;バナナマン、上原美優;2010年;2010-05-20;NA;NA;NA;NA;NA;NA
154;5月27日;第1回カマデミー賞;バナナマン、小沢一敬（スピードワゴン）、今野浩喜（キングオブコメディ）;2010年;2010-05-27;NA;NA;NA;NA;NA;NA
155;6月3日;第1回芸能界キレ女塾;バカリズム、吉木りさ;2010年;2010-06-03;NA;NA;NA;NA;NA;NA
156;6月10日;ヒドイ女サミット+αスペシャル;-;2010年;2010-06-10;NA;NA;NA;NA;NA;NA
157;6月17日;芸能界ストイック暗記王10;東野幸治、オードリー、深澤ゆうき、田中涼子、藤井梨花、横山美雪、キュートン、米田弥央;2010年;2010-06-17;NA;NA;NA;NA;NA;NA
158;6月24日;芸能界ストイック暗記王10;東野幸治、オードリー、深澤ゆうき、田中涼子、藤井梨花、横山美雪、キュートン、米田弥央;2010年;2010-06-24;NA;NA;NA;NA;NA;NA
159;7月1日;第2回芸能界キレ女塾;バカリズム、小栗あずき;2010年;2010-07-01;NA;NA;NA;NA;NA;NA
160;7月8日;第1回小木学会;バナナマン、児嶋一哉（アンジャッシュ）;2010年;2010-07-08;NA;NA;NA;NA;NA;NA
161;7月15日;第2回タニームマッチ2010;山里亮太（南海キャンディーズ）、谷桃子;2010年;2010-07-15;NA;NA;NA;NA;NA;NA
162;7月22日;第1回芸人ラジオサミット;バナナマン、サンドウィッチマン;2010年;2010-07-22;NA;NA;NA;NA;NA;NA
163;7月29日;第7回芸人マジ歌選手権 前夜祭;-;2010年;2010-07-29;NA;NA;NA;NA;NA;NA
164;7月29日;第7回芸人マジ歌選手権;バナナマン、東京03、秋山竜次（ロバート）、大島美幸・黒沢かずこ（森三中）、野性爆弾、香田晋、小倉優子、伊達みきお（サンドウィッチマン）;2010年;2010-07-29;NA;NA;NA;NA;NA;NA
165;8月5日;第7回芸人マジ歌選手権 完全版SP;バナナマン、東京03、秋山竜次（ロバート）、大島美幸・黒沢かずこ（森三中）、野性爆弾、香田晋、小倉優子、伊達みきお（サンドウィッチマン）;2010年;2010-08-05;100804 神舌 第七届严肃歌曲大赛;2017-10-16-100804-2780804;神舌;/home/tc/GIT/owaraisite/content/post//2017-10-16-100804-2780804.md;2780804;<a href='/post/2017-10-16-100804-2780804'>LINK</a>
166;8月12日;キモンスターズチャンプ4;バナナマン、カリカ;2010年;2010-08-12;NA;NA;NA;NA;NA;NA
167;8月19日;仲直りフレンドパーク3;鈴木拓（ドランクドラゴン）、山里亮太（南海キャンディーズ）、深澤ゆうき;2010年;2010-08-19;NA;NA;NA;NA;NA;NA
168;8月26日;第3回芸能界キレ女塾;バカリズム、小林さり;2010年;2010-08-26;NA;NA;NA;NA;NA;NA
169;9月2日;第1回ゲーセワニュース;久田将義、吉田豪;2010年;2010-09-02;NA;NA;NA;NA;NA;NA
170;9月9日;DVD発売記念!アイドルのおっぱいを見せてもらおう!;バナナマン、島田秀平、吉木りさ、杉原杏璃、手島優;2010年;2010-09-09;NA;NA;NA;NA;NA;NA
171;9月16日;DVD発売記念!アイドルのおっぱいを見せてもらおう!;バナナマン、島田秀平、吉木りさ、杉原杏璃、手島優;2010年;2010-09-16;NA;NA;NA;NA;NA;NA
172;9月23日;第4回芸能界キレ女塾;バカリズム、佐山彩香;2010年;2010-09-23;NA;NA;NA;NA;NA;NA
173;9月30日;第2回芸人ラジオサミット;オードリー、渡部建（アンジャッシュ）;2010年;2010-09-30;奥黛丽cut 神舌 20100929 艺人广播峰会;2019-05-23-100929-53337014;神舌;/home/tc/GIT/owaraisite/content/post//2019-05-23-100929-53337014.md;53337014;<a href='/post/2019-05-23-100929-53337014'>LINK</a>
174;10月7日;第2回ゲーセワニュース;久田将義、吉田豪、小塩隆之;2010年;2010-10-07;NA;NA;NA;NA;NA;NA
175;10月14日;ザ・大声クイズ5 カラんだ事ない芸人SP;ハライチ、パンクブーブー、西舘さをり;2010年;2010-10-14;NA;NA;NA;NA;NA;NA
176;10月21日;怒りオネェ;バナナマン、杉原杏璃;2010年;2010-10-21;NA;NA;NA;NA;NA;NA
177;10月28日;第2回松丸プロデュース王決定戦;設楽統（バナナマン）;2010年;2010-10-28;NA;NA;NA;NA;NA;NA
178;11月4日;ねるとん谷鯨団;谷桃子、カンニング竹山;2010年;2010-11-04;NA;NA;NA;NA;NA;NA
179;11月11日;第3回ゲーセワニュース;久田将義、吉田豪;2010年;2010-11-11;NA;NA;NA;NA;NA;NA
180;11月18日;第1回勝手に新曲発表会;バナナマン、東京03、大地洋輔（ダイノジ）、デビテツヤ;2010年;2010-11-18;NA;NA;NA;NA;NA;NA
181;11月25日;第1回勝手に新曲発表会;バナナマン、東京03、大地洋輔（ダイノジ）、デビテツヤ;2010年;2010-11-25;NA;NA;NA;NA;NA;NA
182;12月2日;キングオブコメディの使い方発表会;バナナマン、東京03、キングオブコメディ、石橋ゆう子;2010年;2010-12-02;NA;NA;NA;NA;NA;NA
183;12月9日;怒りオネェ2;バナナマン、辰巳奈都子;2010年;2010-12-09;NA;NA;NA;NA;NA;NA
184;12月16日;ザ・大声クイズ6;アンガールズ、杉ありさ;2010年;2010-12-16;NA;NA;NA;NA;NA;NA
185;12月23日;聖なる夜にエロ哀しい話座談会;小沢一敬（スピードワゴン）、澤部佑（ハライチ）、西舘さをり;2010年;2010-12-23;NA;NA;NA;NA;NA;NA
186;1月3日;第8回芸人マジ歌選手権;バナナマン、東京03、秋山竜次（ロバート）、大地洋輔（ダイノジ）、山里亮太（南海キャンディーズ）、渡部建（アンジャッシュ）、森山直太朗、クリス松村、重盛さと美;2011年;2011-01-03;NA;NA;NA;NA;NA;NA
187;1月6日;第8回芸人マジ歌選手権 完全版SP;バナナマン、東京03、秋山竜次（ロバート）、大地洋輔（ダイノジ）、山里亮太（南海キャンディーズ）、渡部建（アンジャッシュ）、森山直太朗、クリス松村、重盛さと美;2011年;2011-01-06;NA;NA;NA;NA;NA;NA
188;1月13日;第10回ヒドイ女サミット;山里亮太（南海キャンディーズ）、吉村崇（平成ノブシコブシ）、吉木りさ;2011年;2011-01-13;NA;NA;NA;NA;NA;NA
189;1月20日;第5回芸能界キレ女塾;バカリズム、高松美里;2011年;2011-01-20;NA;NA;NA;NA;NA;NA
190;1月27日;気をそらせ隊 新メンバーオーディション;深澤ゆうき、田中涼子、南まりか、西舘さをり;2011年;2011-01-27;NA;NA;NA;NA;NA;NA
191;2月3日;誰も教えてくれない授業;我が家、村山ひとし、吉木りさ;2011年;2011-02-03;NA;NA;NA;NA;NA;NA
192;2月10日;怒りオネェ3;バナナマン、カンニング竹山、栗山夢衣、及川奈央、伊藤隆行;2011年;2011-02-10;NA;NA;NA;NA;NA;NA
193;2月17日;悪ふざけアウトテイク傑作選;-;2011年;2011-02-17;NA;NA;NA;NA;NA;NA
194;2月24日;キモンスターズオーディション;バナナマン、スリムクラブ、サンドウィッチマン、キングオブコメディ;2011年;2011-02-24;NA;NA;NA;NA;NA;NA
195;3月3日;第6回芸能界キレ女塾;バカリズム、綱島恵里香;2011年;2011-03-03;NA;NA;NA;NA;NA;NA
196;3月10日;第1回照れカワ芸人更生プログラム;オードリー、山里亮太（南海キャンディーズ）、スマイレージ、爆乳ヤンキー（手島優、MAO、北条まみ）、西舘さをり;2011年;2011-03-10;NA;NA;NA;NA;NA;NA
197;3月24日;DVD発売記念 マジ歌ランキング;-;2011年;2011-03-24;NA;NA;NA;NA;NA;NA
198;3月31日;ザ・大声クイズ7;後藤輝基（フットボールアワー）、鈴木拓（ドランクドラゴン）、辰巳奈都子;2011年;2011-03-31;NA;NA;NA;NA;NA;NA
199;4月7日;第1回カッコイイサミット;ダイノジ;2011年;2011-04-07;NA;NA;NA;NA;NA;NA
200;4月14日;怒りオネェ4;バナナマン、クリス松村;2011年;2011-04-14;NA;NA;NA;NA;NA;NA
201;4月21日;マジ歌フェスティバルSP;バナナマン、東京03、秋山竜次（ロバート）、大地洋輔（ダイノジ）、大島美幸・黒沢かずこ（森三中）、深澤ゆうき、田中涼子、藤井梨花、谷桃子;2011年;2011-04-21;NA;NA;NA;NA;NA;NA
202;4月28日;第4回ゲーセワニュース;久田将義、吉田豪;2011年;2011-04-28;NA;NA;NA;NA;NA;NA
203;5月5日;200回記念!ゴッドタンを彩った女神たち;-;2011年;2011-05-05;NA;NA;NA;NA;NA;NA
204;5月19日;見切り発車情報ステーション;重盛さと美、春名風花、ヨシナガ、下関マグロ;2011年;2011-05-19;NA;NA;NA;NA;NA;NA
205;5月26日;第2回照れカワ芸人更生プログラム;オードリー、山里亮太（南海キャンディーズ）、ももいろクローバーZ、爆乳三国志（手島優、MAO、北条まみ）、中野腐女シスターズ、成松慶彦;2011年;2011-05-26;神舌 第2回害羞卖萌艺人重生企划（上）110525;2017-02-14-110525-8607018;神舌;/home/tc/GIT/owaraisite/content/post//2017-02-14-110525-8607018.md;8607018;<a href='/post/2017-02-14-110525-8607018'>LINK</a>
206;6月2日;第2回照れカワ芸人更生プログラム;オードリー、山里亮太（南海キャンディーズ）、ももいろクローバーZ、爆乳三国志（手島優、MAO、北条まみ）、中野腐女シスターズ、成松慶彦;2011年;2011-06-02;神舌 第2回害羞卖萌艺人重生企划（下）110601;2017-02-17-110601-8656288;神舌;/home/tc/GIT/owaraisite/content/post//2017-02-17-110601-8656288.md;8656288;<a href='/post/2017-02-17-110601-8656288'>LINK</a>
207;6月9日;マジギライ1/5;山口沙紀、丸高愛実、今野杏南、井上あやね、あいな;2011年;2011-06-09;NA;NA;NA;NA;NA;NA
208;6月16日;マジギライ1/6;田中卓志（アンガールズ）、吉田桃子、疋田紗也、さな、小谷津友里、愛乃なな、あいな;2011年;2011-06-16;NA;NA;NA;NA;NA;NA
209;6月23日;第2回カッコイイサミット;バナナマン、秋山竜次（ロバート）;2011年;2011-06-23;NA;NA;NA;NA;NA;NA
210;6月30日;DVD大ヒット御礼 おっぱいを見せてもらおう;アンガールズ、藤森慎吾（オリエンタルラジオ）、松本さゆき、南まりか、栗山夢衣;2011年;2011-06-30;NA;NA;NA;NA;NA;NA
211;7月7日;DVD大ヒット御礼 おっぱいを見せてもらおう;アンガールズ、藤森慎吾（オリエンタルラジオ）、松本さゆき、南まりか、栗山夢衣;2011年;2011-07-07;NA;NA;NA;NA;NA;NA
212;7月14日;マジギライ1/5;後藤輝基（フットボールアワー）、山中絢子、植田早紀、馬越幸子、池端玲名、あいな;2011年;2011-07-14;NA;NA;NA;NA;NA;NA
213;7月28日;未公開映像流失SP;-;2011年;2011-07-28;NA;NA;NA;NA;NA;NA
214;8月4日;キス我慢選手権 ルーキー大会;バナナマン、ハライチ、平成ノブシコブシ、成瀬心美、加藤リナ、オレノグラフティ;2011年;2011-08-04;NA;NA;NA;NA;NA;NA
215;8月11日;キス我慢選手権 ルーキー大会;バナナマン、ハライチ、平成ノブシコブシ、成瀬心美、加藤リナ、オレノグラフティ;2011年;2011-08-11;NA;NA;NA;NA;NA;NA
216;8月18日;マジギライ1/5;児嶋一哉（アンジャッシュ）、高木あずさ、三樹レイカ、高橋亜由美、黒澤唯、あいな;2011年;2011-08-18;NA;NA;NA;NA;NA;NA
217;8月25日;芸能界ストイック暗記王11;ロッチ、スリムクラブ、深澤ゆうき、田中涼子、柏木美里、優希まこと、田中伸彦、安藤遥、劇団ハイバイ;2011年;2011-08-25;NA;NA;NA;NA;NA;NA
218;9月1日;芸能界ストイック暗記王11;ロッチ、スリムクラブ、深澤ゆうき、田中涼子、柏木美里、優希まこと、田中伸彦、安藤遥、劇団ハイバイ;2011年;2011-09-01;NA;NA;NA;NA;NA;NA
219;9月8日;ホンマ堪忍な!後藤の幸子に嫌われ大作戦;後藤輝基（フットボールアワー）、馬越幸子;2011年;2011-09-08;NA;NA;NA;NA;NA;NA
220;9月15日;若林vs春日 オードリー照れカワ3番勝負;オードリー、丸高愛実、深澤ゆうき、谷桃子;2011年;2011-09-15;NA;NA;NA;NA;NA;NA
221;9月22日;ザ・大声クイズ8;柴田英嗣（アンタッチャブル）、日村勇紀（バナナマン）、西舘さをり;2011年;2011-09-22;NA;NA;NA;NA;NA;NA
222;9月29日;水曜枠撤退スペシャル;バナナマン、相内優香;2011年;2011-09-29;NA;NA;NA;NA;NA;NA
223;10月1日;第9回芸人マジ歌選手権;バナナマン、東京03、秋山竜次（ロバート）、大地洋輔（ダイノジ）、大島美幸・黒沢かずこ（森三中）、後藤輝基（フットボールアワー）、有吉弘行、ダイアモンド☆ユカイ、小倉優子、秋元玲奈;2011年;2011-10-01;NA;NA;NA;NA;NA;NA
224;10月2日;第9回芸人マジ歌選手権 完全版SP;バナナマン、東京03、秋山竜次（ロバート）、大地洋輔（ダイノジ）、大島美幸・黒沢かずこ（森三中）、後藤輝基（フットボールアワー）、有吉弘行、ダイアモンド☆ユカイ、小倉優子、秋元玲奈;2011年;2011-10-02;NA;NA;NA;NA;NA;NA
225;10月9日;マジギライ1/5;山里亮太（南海キャンディーズ）、宮田あゆみ、村岡沙耶香、青山玲子、小島百合子、あいな;2011年;2011-10-09;NA;NA;NA;NA;NA;NA
226;10月16日;マジギライ1/5;有吉弘行、斉藤和巳、古川真奈美、橋本雪乃、愛心、あいな;2011年;2011-10-16;NA;NA;NA;NA;NA;NA
227;10月23日;怒りオネェ5;バナナマン、手島優;2011年;2011-10-23;NA;NA;NA;NA;NA;NA
228;10月30日;モテナイキナイト;田中卓志（アンガールズ）、中岡創一（ロッチ）、諸見里大介、南まりか;2011年;2011-10-30;NA;NA;NA;NA;NA;NA
229;11月6日;飲み屋でゲーセワニュース;バナナマン、島田秀平、久田将義、吉田豪、なぎら健壱、杉作J太郎;2011年;2011-11-06;NA;NA;NA;NA;NA;NA
230;11月13日;飲み屋でゲーセワニュース;バナナマン、島田秀平、久田将義、吉田豪、なぎら健壱、杉作J太郎;2011年;2011-11-13;NA;NA;NA;NA;NA;NA
231;11月20日;DVD発売記念!景気付けにおっぱいを見せてもらおう;オードリー、山里亮太（南海キャンディーズ）、安藤遥、谷桃子;2011年;2011-11-20;NA;NA;NA;NA;NA;NA
232;11月27日;第1回オオギリッシュNIGHT;バナナマン、バカリズム、深澤ゆうき、渕上彩夏、木村好珠、神室まい;2011年;2011-11-27;NA;NA;NA;NA;NA;NA
233;12月11日;第3回松丸プロデュース王決定戦;バナナマン;2011年;2011-12-11;NA;NA;NA;NA;NA;NA
234;12月18日;第2回勝手に新曲発表会;バナナマン、サンドウィッチマン、豊本明長（東京03）、大地洋輔（ダイノジ）、デビテツヤ、ペレ（エクステンション）;2011年;2011-12-18;NA;NA;NA;NA;NA;NA
235;12月25日;第2回勝手に新曲発表会;バナナマン、サンドウィッチマン、豊本明長（東京03）、大地洋輔（ダイノジ）、デビテツヤ、ペレ（エクステンション）;2011年;2011-12-25;NA;NA;NA;NA;NA;NA
236;1月8日;マジギライ1/5;東野幸治、高梨麻衣、平塚奈菜、白河優菜、相川友希、あいな;2012年;2012-01-08;NA;NA;NA;NA;NA;NA
237;1月15日;危険すぎて世に出なかった冬の問題作祭り;スピードワゴン、春名風花;2012年;2012-01-15;NA;NA;NA;NA;NA;NA
238;1月22日;第2回オオギリッシュNIGHT;バナナマン、バカリズム、山里亮太（南海キャンディーズ）、渕上彩夏、木村好珠、神室まい;2012年;2012-01-22;NA;NA;NA;NA;NA;NA
239;1月29日;第2回オオギリッシュNIGHT;バナナマン、バカリズム、山里亮太（南海キャンディーズ）、渕上彩夏、木村好珠、神室まい;2012年;2012-01-29;NA;NA;NA;NA;NA;NA
240;2月5日;マジ歌LIVE2012 ディレクターズカット版;バナナマン、東京03、秋山竜次（ロバート）、大地洋輔（ダイノジ）、後藤輝基（フットボールアワー）、大島美幸・黒沢かずこ（森三中）;2012年;2012-02-05;NA;NA;NA;NA;NA;NA
241;2月12日;ジェッタシーはダサぁない!ホンマはカッコええんやで!!対決;後藤輝基（フットボールアワー）、菊地亜美、丸高愛実、安藤遥、白河優菜、馬越幸子;2012年;2012-02-12;NA;NA;NA;NA;NA;NA
242;2月19日;バレンタインだよ!キモンスターズチャンプ5;バナナマン、Hi-Hi;2012年;2012-02-19;NA;NA;NA;NA;NA;NA
243;2月26日;第1回バカヤロウ徒競走;児嶋一哉（アンジャッシュ）、山里亮太（南海キャンディーズ）;2012年;2012-02-26;NA;NA;NA;NA;NA;NA
244;3月4日;第1回バカヤロウ徒競走;児嶋一哉（アンジャッシュ）、山里亮太（南海キャンディーズ）;2012年;2012-03-04;NA;NA;NA;NA;NA;NA
245;3月11日;第3回照れカワ芸人更生プログラム〜照れカワももクロ学園〜;バナナマン、オードリー、山里亮太（南海キャンディーズ）、ももいろクローバーZ;2012年;2012-03-11;NA;NA;NA;NA;NA;NA
246;3月18日;第3回照れカワ芸人更生プログラム〜照れカワももクロ学園〜;バナナマン、オードリー、山里亮太（南海キャンディーズ）、ももいろクローバーZ;2012年;2012-03-18;NA;NA;NA;NA;NA;NA
247;3月25日;飲み屋でゲーセワニュース2（前編）;バナナマン、久田将義、吉田豪、杉作J太郎、サンキュータツオ（米粒写経）;2012年;2012-03-25;NA;NA;NA;NA;NA;NA
248;4月8日;番組6年目突入!レア映像クイズ;バナナマン、岩佐真悠子;2012年;2012-04-08;NA;NA;NA;NA;NA;NA
249;4月15日;模範解答を考えよう;川島明（麒麟）、博多大吉（博多華丸・大吉）;2012年;2012-04-15;NA;NA;NA;NA;NA;NA
250;4月22日;手島を救え!爆乳プロデュース;手島優、MAO、北條まみ;2012年;2012-04-22;NA;NA;NA;NA;NA;NA
251;4月29日;照れカワももクロ学園 未公開SP;バナナマン、オードリー、山里亮太（南海キャンディーズ）、ももいろクローバーZ;2012年;2012-04-29;NA;NA;NA;NA;NA;NA
251;4月29日;小沢治療企画 マジギライ1/1;スピードワゴン、春名風花;2012年;2012-04-29;NA;NA;NA;NA;NA;NA
252;5月6日;マジギライ1/5;バナナマン、安藤あいか、加藤遥、鳥飼ゆかり、由井香織、あいな;2012年;2012-05-06;NA;NA;NA;NA;NA;NA
253;5月13日;上品芸人ハメ外しクラブ;川島明（麒麟）、博多大吉（博多華丸・大吉）、春日俊彰（オードリー）;2012年;2012-05-13;NA;NA;NA;NA;NA;NA
254;5月20日;飲み屋でゲーセワニュース2（後編）;バナナマン、久田将義、吉田豪、杉作J太郎、サンキュータツオ（米粒写経）;2012年;2012-05-20;NA;NA;NA;NA;NA;NA
254;5月20日;マジギライ1/5 未公開SP;バナナマン、安藤あいか、加藤遥、鳥飼ゆかり、由井香織、あいな;2012年;2012-05-20;NA;NA;NA;NA;NA;NA
